text,label
"web accessibility guidelines, html, css, javascript, user experience design",accessibility specialist
"big data management, hadoop, spark, data warehousing, sql",admin big data
"agile methodologies, scrum, kanban, project management tools, leadership",agile project manager
"java, kotlin, android sdk, mobile app development, ui/ux design",android developer
"ansible, automation scripts, linux, networking, cloud computing",ansible automation engineer
"security protocols, penetration testing, secure coding practices, compliance",application security engineer
"artifactory, repository management, devops tools, ci/cd pipelines",artifactory administrator
"artifactory, devops practices, continuous integration, software packaging",artifactory engineer
"ai/ml frameworks, leadership, strategic planning, data science",artificial intelligence / machine learning leader
"advanced ai/ml, leadership, strategic vision, team management",artificial intelligence / machine learning sr.leader
"ai/ml frameworks, system architecture, cloud computing, data modeling",artificial intelligence architect
"research methodologies, ai/ml algorithms, python, data analysis",artificial intelligence researcher
"aws services, devops practices, ci/cd pipelines, automation",aws devops engineer
"aws services, cloud architecture, solution design, cost optimization",aws solutions architect
"azure services, devops practices, ci/cd pipelines, automation",azure devops engineer
"bamboo, ci/cd pipelines, build automation, software configuration management",bamboo engineer
"big data technologies, hadoop, spark, data warehousing, system design",big data architect
"hadoop, spark, etl processes, data processing, database management",big data engineer
"big data technologies, data analysis, sql, data mining",big data specialist
"bitbucket, git, version control, ci/cd integration",bitbucket engineer
"blockchain technologies, solidity, cryptography, smart contracts",blockchain developer
"ci/cd pipelines, build systems, automation, configuration management",build and release engineer
"build systems, scripting, automation, software configuration management",build engineer
"requirements gathering, process analysis, system design, documentation",business systems analyst
"c#, .net framework, asp.net, software development, object-oriented programming",c# developer
"chef inspec, compliance automation, infrastructure testing, ruby",chef inspec engineer
"chef, automation, infrastructure management, ruby",chef operations engineer
"cloud platforms, system administration, virtualization, networking",cloud administrator
"cloud platforms, system architecture, cloud security, devops",cloud architect
"cloud automation tools, scripting, configuration management, devops",cloud automation engineer
"cloud networking, virtual networks, network security, cloud platforms",cloud network engineer
"cloud security, security protocols, compliance, cloud platforms",cloud security engineer
"cnc machines, cad/cam software, g-code, manufacturing processes",cnc programmer
"programming languages, scripting, problem solving, software development",coder
"animation software, 3d modeling, visual effects, graphic design",computer graphics animator
"hardware design, circuit design, embedded systems, testing",computer hardware engineer
"network design, network protocols, security, system architecture",computer network architect
"programming languages, algorithms, software development, debugging",computer programmer
"research methodologies, data analysis, programming, scientific writing",computer research scientist
"systems analysis, requirements gathering, process improvement, it consulting",computer systems analyst
"confluence, atlassian suite, documentation, collaboration tools",confluence engineer
"consul, service discovery, infrastructure automation, networking",consul engineer
"coverage.py, python testing, test coverage analysis, software quality",coverage.py engineer
"data analysis, sql, data visualization, statistical analysis",data analyst
"data modeling, database design, etl processes, data warehousing",data architect
"etl processes, data warehousing, big data technologies, database management",data engineer
"data modeling techniques, database design, data governance, data analysis",data modeler
"machine learning, statistical analysis, data mining, programming",data scientist
"database management, sql, performance tuning, backup and recovery",database administrator
"datadog, monitoring, system performance, cloud infrastructure",datadog engineer
"devops practices, cloud computing, automation, system architecture",devops architect
"automation, ci/cd, cloud computing, scripting",devops engineer
"devops practices, team leadership, project management, automation",devops manager
"devsecops practices, security automation, cloud security, system architecture",devsecops architect
"security automation, ci/cd, cloud security, scripting",devsecops engineer
"leadership, software development, project management, team management",director of engineering
"docker, containerization, orchestration, devops",docker engineer
"elk stack, log management, data analysis, system monitoring",elk engineer
"embedded systems, c/c++, firmware development, hardware interfaces",embedded software engineer
"programming basics, software development, problem solving, learning agility",entry level developer
"networking basics, troubleshooting, system administration, learning agility",entry level network engineer
"programming basics, software development, problem solving, learning agility",entry level programmer
"html, css, javascript, basic web development, learning agility",entry level web developer
"envoy proxy, service mesh, load balancing, networking",envoy engineer
"falco, kubernetes security, cloud security, system monitoring",falco engineer
"fluentd, log aggregation, data collection, system monitoring",fluentd engineer
"fortify, static code analysis, application security, secure coding",fortify engineer
"software frameworks, programming languages, problem solving, system design",frameworks specialist
"html, css, javascript, ui/ux design, responsive design",front end developer
"html, css, javascript, back-end technologies, database management",full stack developer
"java, spring, hibernate, html, css, javascript",full stack java developer/programmer/engineer
"python, django, flask, html, css, javascript",full stack python developer/programmer/engineer
"c++, c#, game engines, 3d modeling, game design",game developer
"google cloud platform, devops practices, ci/cd pipelines, automation",gcp devops engineer
"gerrit, code review, git, version control",gerrit administrator
"git, version control, branching strategies, collaboration",git engineer
"github, git, collaboration tools, ci/cd integration",github engineer
